Run,X,Y,Xend,Yend,Heuristic,Time,Length,Sum of turns,Map
1,-6,-6,5.5,6.5,euclidean,0.0530104,35.0631,57.1448,maze_corridor
2,-6,-6,5.5,6.5,euclidean,0.0498021,35.0649,57.0774,maze_corridor
3,-6,-6,5.5,6.5,euclidean,0.0483187,35.0676,57.2543,maze_corridor
1,-6,-6,5.5,6.5,manhattan,0.0762701,37.4926,329.967,maze_corridor
2,-6,-6,5.5,6.5,manhattan,0.0417668,37.6175,321.64,maze_corridor
3,-6,-6,5.5,6.5,manhattan,0.0532168,37.6176,321.623,maze_corridor
1,-6,-6,5.5,6.5,chebyshev,0.0510653,35.5548,56.1817,maze_corridor
2,-6,-6,5.5,6.5,chebyshev,0.0546611,35.5547,56.5316,maze_corridor
3,-6,-6,5.5,6.5,chebyshev,0.0481843,35.5595,57.7015,maze_corridor
1,-6,-6,5.5,6.5,manhattan,0.0046694,17.2553,3.76172,blank
1,-6,-6,5.5,6.5,manhattan,0.0049411,17.2543,3.00376,blank
1,-6,-6,5.5,6.5,manhattan,0.00402104,17.2559,3.81664,blank
1,-6,-6,5.5,6.5,euclidean,0.0459812,17.1451,189.782,blank
1,-6,-6,5.5,6.5,euclidean,0.0641447,17.1452,189.896,blank
1,-6,-6,5.5,6.5,euclidean,0.0460025,17.1435,189.745,blank
1,-6,-6,5.5,6.5,chebyshev,0.0808924,17.3717,195.246,blank
1,-6,-6,5.5,6.5,chebyshev,0.0544883,17.376,195.297,blank
1,-6,-6,5.5,6.5,chebyshev,0.0940129,17.3712,195.213,blank
1,-6,-6,5.5,6.5,manhattan,0.00549833,21.5639,21.1402,corridor
1,-6,-6,5.5,6.5,manhattan,0.00600581,21.6049,33.9073,corridor
1,-6,-6,5.5,6.5,manhattan,0.00582469,21.5857,19.6436,corridor
1,-6,-6,5.5,6.5,euclidean,0.0403765,20.7374,32.0165,corridor
1,-6,-6,5.5,6.5,euclidean,0.0257914,20.738,31.9821,corridor
1,-6,-6,5.5,6.5,euclidean,0.032917,20.7374,31.9668,corridor
1,-6,-6,5.5,6.5,chebyshev,0.0506315,21.2822,63.4435,corridor
1,-6,-6,5.5,6.5,chebyshev,0.0662456,21.2828,64.6242,corridor
1,-6,-6,5.5,6.5,chebyshev,0.0270496,21.2893,65.2541,corridor
