Dataset,VoxelResolution,SPADSampling,ReconstructionTime
Z_d=0.5_l=[1x1]_s=[256x256],8,2,7.25792458333333
Z_d=0.5_l=[1x1]_s=[256x256],8,4,1.77581270833333
Z_d=0.5_l=[1x1]_s=[256x256],8,8,0.4351275
Z_d=0.5_l=[1x1]_s=[256x256],16,2,52.3478830833333
Z_d=0.5_l=[1x1]_s=[256x256],16,4,14.4479370416667
Z_d=0.5_l=[1x1]_s=[256x256],16,8,3.206858375
planes_d=0.5_l=[16x16]_s=[16x16],8,2,7.08033245833333
planes_d=0.5_l=[16x16]_s=[16x16],8,4,1.833192875
planes_d=0.5_l=[16x16]_s=[16x16],8,8,0.47443125
planes_d=0.5_l=[16x16]_s=[16x16],16,2,50.5544685
planes_d=0.5_l=[16x16]_s=[16x16],16,4,12.8135915
planes_d=0.5_l=[16x16]_s=[16x16],16,8,3.35561183333333
bunnybox_d=0.5_l=[16x16]_s=[16x16],8,2,7.044494
bunnybox_d=0.5_l=[16x16]_s=[16x16],8,4,1.82794466666667
bunnybox_d=0.5_l=[16x16]_s=[16x16],8,8,0.475961666666667
bunnybox_d=0.5_l=[16x16]_s=[16x16],16,2,50.5731282083333
bunnybox_d=0.5_l=[16x16]_s=[16x16],16,4,12.98822
bunnybox_d=0.5_l=[16x16]_s=[16x16],16,8,3.3232215
bunny_d=0.5_l=[16x16]_s=[16x16],8,2,7.181491125
bunny_d=0.5_l=[16x16]_s=[16x16],8,4,1.82814316666667
bunny_d=0.5_l=[16x16]_s=[16x16],8,8,0.478653333333333
bunny_d=0.5_l=[16x16]_s=[16x16],16,2,50.4838830833333
bunny_d=0.5_l=[16x16]_s=[16x16],16,4,12.7548370416667
bunny_d=0.5_l=[16x16]_s=[16x16],16,8,3.24728516666667
bunny_d=0.5_l=[1x1]_s=[256x256],8,2,7.05023445833333
bunny_d=0.5_l=[1x1]_s=[256x256],8,4,1.72408866666667
bunny_d=0.5_l=[1x1]_s=[256x256],8,8,0.424182416666667
bunny_d=0.5_l=[1x1]_s=[256x256],16,2,50.75558225
bunny_d=0.5_l=[1x1]_s=[256x256],16,4,12.8738297916667
bunny_d=0.5_l=[1x1]_s=[256x256],16,8,3.178409375
