# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 76, mean track length: 2
1 1.1317880258178414 0.17884886420838222 80.502411001591298 109 51 45 1.5190944693371997 2 43 1 645
2 -0.10052911853330483 0.27159318152656747 82.774423156475635 144 84 72 1.3092513849934269 2 128 1 1134
3 0.12491565734426485 0.5126349360264717 99.255663413650723 129 69 57 0.34174029778584059 2 185 1 1172
4 -0.18515561149829518 0.53595909931729391 92.378909726626588 222 177 161 1.232046797985396 2 238 1 1355
5 -0.67341680937152493 0.19626432178766662 66.388375775000313 130 72 55 1.0545627228955285 2 240 1 1441
6 0.21854034182706014 0.76951171184703038 111.35632419140775 126 66 51 0.85812468273832943 2 256 1 1293
7 -0.27541229466148831 0.80479649167158518 108.43038811816741 132 72 58 0.11868866221448018 2 331 1 1454
8 -1.055150466216157 -0.0046908961583007544 41.795663662381052 200 117 95 0.36373498953553196 2 333 1 1843
9 -0.62631791565000361 0.52432494849113054 82.836542227300939 130 69 53 0.27733065093591386 2 336 1 1565
10 2.7294564040421458 0.62914362638734433 113.65410497850493 42 34 32 1.9029018881038087 2 352 1 818
11 -1.0002261303591815 0.05177484208769631 39.151228591602994 200 119 96 2.0602147687754515 2 387 1 1962
12 0.059962338307240251 1.1561338035532296 129.75493689500559 243 183 173 0.15177870452358508 2 388 1 1465
13 -0.14431550367107804 1.1609907838321853 129.42563342141037 219 173 155 0.59483934976786168 2 405 1 1509
14 -0.087952450447296826 1.2265620027866 129.12065222267969 142 95 80 0.87472001340152938 2 427 1 1548
15 -1.0478013308527847 0.65055726105530864 96.157772708899543 173 111 100 2.6778805685568283 2 454 1 1678
16 -0.8449301194957789 1.2222896639275673 131.4726549639835 130 72 55 3.070333291188136 2 520 1 1702
17 -1.1783855140832902 0.38909072524441202 57.482349813714578 187 108 85 0.73843046633102838 2 639 1 2111
18 1.8888364796156676 2.2841166790595788 178.45991575570389 153 80 68 0.51280678520957701 2 671 1 1560
19 -0.92530171935501138 1.4187754525142706 120.62025072175886 130 71 54 1.8991636501531319 2 717 1 1982
20 0.66933192176420742 2.7079142617666419 204.27945297885327 115 71 59 0.46490356461910454 2 732 1 1744
21 1.5523406301140372 2.3555669338426548 169.53824632900583 164 83 62 0.061402709780567777 2 760 1 1711
22 2.3144080637170208 2.6430948591596559 188.39167110577074 166 92 73 0.38665784317053586 2 797 1 1656
23 -0.042157761411320702 3.4361880722350486 251.68953742954798 135 76 62 1.7938418884553151 2 819 1 1853
24 1.0868325211183907 3.5242035702026278 232.13980635521906 118 65 53 0.052766734168981352 2 913 1 1897
25 -0.8480564821095663 2.2798483845967255 156.32532239839071 120 66 55 3.1290353600187721 2 920 1 2173
26 2.8970116957109702 3.689382884992443 242.27983707122013 163 93 75 1.4176021667743184 2 934 1 1766
27 -1.0995757638279213 1.5213103646186745 103.98860072401801 125 65 50 0.79751587034813298 2 978 1 2349
28 -1.0859265135663245 1.8512542026239494 113.21642537732136 126 67 50 1.0116276999991709 2 1110 1 2488
29 4.3809935543562268 4.2419281003851896 256.82685254897297 150 75 57 0.18383699345932444 2 1137 1 1825
33 0.016303923878013306 5.7306308507781196 322.57090997476371 158 87 72 1.9767459605189308 2 1216 1 2274
34 4.5678355721664143 4.8875711921339411 274.49693911406393 167 81 62 0.29639079110903682 2 1254 1 1978
35 4.6513036496483959 5.2143107243226803 289.41904886749069 165 84 65 0.63282427096647242 2 1275 1 2014
36 1.528278376920972 6.887669666114296 367.27687479271907 141 73 59 0.14951846837297322 2 1294 1 2278
38 1.9457962163804217 4.1464572052605195 214.43818612495497 175 89 71 0.23904288685851294 2 1303 1 2295
42 -0.12601715250228646 5.9681676942373318 301.53517249504159 160 87 67 1.7953072718925887 2 1422 1 2521
43 -1.6005364262434805 0.80663142350974271 50.116670452900081 243 158 123 2.3116052576403696 2 1453 1 3007
44 -1.3067941200680271 2.2480255462488019 111.88336024695485 169 95 74 0.52633882806137722 2 1478 1 2890
46 3.0177926324113389 5.1848796562807058 250.52795742298616 166 85 67 1.1268570460154816 2 1492 1 2396
47 0.3015586113862212 8.0017392557775224 387.47764185134957 157 85 66 2.0078601643535094 2 1505 1 2585
