Executable,Matrix Size,mean_real_time,std_real_time,mean_user_time,std_user_time,mean_system_time,std_system_time
standard_matrix_heap_O2,100,0.006,0.0051639777949432225,0.002,0.0042163702135578395,0.0,0.0
standard_matrix_heap_O2,250,0.038,0.006324555320336758,0.036,0.006992058987801011,0.0,0.0
standard_matrix_heap_O2,500,0.242,0.016865480854231354,0.23700000000000002,0.018885620632287065,0.0,0.0
standard_matrix_heap_O2,600,0.379,0.007378647873726227,0.372,0.009189365834726822,0.001,0.0031622776601683794
standard_matrix_heap_O2,700,0.651,0.037844711945293256,0.644,0.040606512887576184,0.003,0.00483045891539648
standard_matrix_heap_O2,800,1.1540000000000001,0.06415259585983675,1.147,0.06464432603785798,0.004,0.0051639777949432225
standard_matrix_heap_O2,900,1.8379999999999999,0.11688550903436325,1.829,0.11929887770730373,0.004,0.0051639777949432225
standard_matrix_heap_O2,1000,2.807,0.0984377976185977,2.789,0.09608445359277551,0.013000000000000001,0.0067494855771055295
standard_matrix_heap_O2,1500,13.25,0.383840244546261,13.217000000000002,0.3803229621723566,0.025,0.007071067811865475
standard_matrix_heap_O2,2000,49.425,0.6476324403377122,49.372,0.6454765681262175,0.044,0.005163977794943224
