Steps,Pi Value,Execution Time (s)
16,3.200365515409547529,1.0116e-05
16,3.200365515409547529,2.1277e-05
16,3.200365515409547529,2.3193e-05
16,3.200365515409547529,1.1499e-05
16,3.200365515409547529,1.2130e-05
128,3.149344475124620055,1.2357e-05
128,3.149344475124620055,3.9480e-06
128,3.149344475124620055,8.9060e-06
128,3.149344475124620055,2.7920e-06
128,3.149344475124620055,1.4615e-05
1024,3.142568263113741388,1.4157e-05
1024,3.142568263113741388,2.0783e-05
1024,3.142568263113741388,1.3598e-05
1024,3.142568263113741388,2.1445e-05
1024,3.142568263113741388,8.9930e-06
1048576,3.14159360726320027,0.002774262
1048576,3.14159360726320027,0.001954438
1048576,3.14159360726320027,0.005605564
1048576,3.14159360726320027,0.004944682
1048576,3.14159360726320027,0.003384501
4294967295,3.141592653356970138,6.231296989
4294967295,3.141592653356970138,6.209651875
4294967295,3.141592653356970138,6.240466948
4294967295,3.141592653356970138,6.115018947
4294967295,3.141592653356970138,6.486056523
