x,y,gx,gy,gradient,gradient_after_clamp
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
0,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
3,1,4,0,4,4
4,1,4,0,4,4
5,1,-4,0,4,4
6,1,-4,0,4,4
7,1,0,0,0,0
8,1,44,0,44,44
9,1,512,0,512,255
10,1,88,0,88,88
11,1,-470,2,470.004,255
12,1,-131,3,131.034,131.034
13,1,-42,0,42,42
14,1,-1,-1,1.41421,1.41421
15,1,0,0,0,0
16,1,0,0,0,0
17,1,0,0,0,0
18,1,0,0,0,0
19,1,0,0,0,0
0,2,0,0,0,0
1,2,0,0,0,0
2,2,0,0,0,0
3,2,4,0,4,4
4,2,4,0,4,4
5,2,-4,0,4,4
6,2,-4,0,4,4
7,2,0,0,0,0
8,2,44,0,44,44
9,2,512,0,512,255
10,2,88,0,88,88
11,2,-474,2,474.004,255
12,2,-129,3,129.035,129.035
13,2,-38,0,38,38
14,2,-3,-1,3.16228,3.16228
15,2,0,0,0,0
16,2,0,0,0,0
17,2,0,0,0,0
18,2,0,0,0,0
19,2,0,0,0,0
0,3,0,0,0,0
1,3,0,0,0,0
2,3,0,0,0,0
3,3,3,1,3.16228,3.16228
4,3,3,3,4.24264,4.24264
5,3,-3,3,4.24264,4.24264
6,3,-3,1,3.16228,3.16228
7,3,0,0,0,0
8,3,44,0,44,44
9,3,512,0,512,255
10,3,88,0,88,88
11,3,-474,-2,474.004,255
12,3,-129,-3,129.035,129.035
13,3,-38,0,38,38
14,3,-3,1,3.16228,3.16228
15,3,0,0,0,0
16,3,0,0,0,0
17,3,0,0,0,0
18,3,0,0,0,0
19,3,0,0,0,0
0,4,0,0,0,0
1,4,0,0,0,0
2,4,0,0,0,0
3,4,1,1,1.41421,1.41421
4,4,1,3,3.16228,3.16228
5,4,-1,3,3.16228,3.16228
6,4,-1,1,1.41421,1.41421
7,4,0,0,0,0
8,4,44,0,44,44
9,4,512,0,512,255
10,4,88,0,88,88
11,4,-470,-2,470.004,255
12,4,-131,-3,131.034,131.034
13,4,-42,0,42,42
14,4,-1,1,1.41421,1.41421
15,4,0,0,0,0
16,4,0,0,0,0
17,4,0,0,0,0
18,4,0,0,0,0
19,4,0,0,0,0
0,5,0,0,0,0
1,5,0,0,0,0
2,5,0,0,0,0
3,5,0,0,0,0
4,5,0,0,0,0
5,5,0,0,0,0
6,5,0,0,0,0
7,5,0,0,0,0
8,5,44,0,44,44
9,5,512,0,512,255
10,5,88,0,88,88
11,5,-468,0,468,255
12,5,-132,0,132,132
13,5,-44,0,44,44
14,5,0,0,0,0
15,5,0,0,0,0
16,5,0,0,0,0
17,5,0,0,0,0
18,5,0,0,0,0
19,5,0,0,0,0
0,6,0,0,0,0
1,6,0,0,0,0
2,6,0,0,0,0
3,6,0,0,0,0
4,6,0,0,0,0
5,6,0,0,0,0
6,6,0,0,0,0
7,6,0,0,0,0
8,6,44,0,44,44
9,6,512,0,512,255
10,6,88,0,88,88
11,6,-468,0,468,255
12,6,-132,0,132,132
13,6,-44,0,44,44
14,6,0,0,0,0
15,6,0,0,0,0
16,6,0,0,0,0
17,6,0,0,0,0
18,6,0,0,0,0
19,6,0,0,0,0
0,7,0,0,0,0
1,7,0,0,0,0
2,7,0,0,0,0
3,7,0,0,0,0
4,7,0,0,0,0
5,7,0,0,0,0
6,7,0,0,0,0
7,7,0,0,0,0
8,7,44,0,44,44
9,7,512,0,512,255
10,7,88,0,88,88
11,7,-468,0,468,255
12,7,-132,0,132,132
13,7,-44,0,44,44
14,7,0,0,0,0
15,7,0,0,0,0
16,7,0,0,0,0
17,7,0,0,0,0
18,7,0,0,0,0
19,7,0,0,0,0
0,8,0,0,0,0
1,8,0,-52,52,52
2,8,0,-52,52,52
3,8,0,-52,52,52
4,8,0,-52,52,52
5,8,0,-52,52,52
6,8,0,-52,52,52
7,8,0,-52,52,52
8,8,25,-33,41.4005,41.4005
9,8,501,-3,501.009,255
10,8,80,16,81.5843,81.5843
11,8,-478,34,479.208,255
12,8,-105,17,106.367,106.367
13,8,-23,-31,38.6005,38.6005
14,8,0,-52,52,52
15,8,0,-52,52,52
16,8,0,-52,52,52
17,8,0,-52,52,52
18,8,0,-52,52,52
19,8,0,0,0,0
0,9,0,0,0,0
1,9,0,-1020,1020,255
2,9,0,-1020,1020,255
3,9,0,-1020,1020,255
4,9,0,-1020,1020,255
5,9,0,-1020,1020,255
6,9,0,-1020,1020,255
7,9,0,-1020,1020,255
8,9,-5,-1009,1009.01,255
9,9,362,-870,942.308,255
10,9,50,-720,721.734,255
11,9,-371,-815,895.47,255
12,9,-45,-965,966.049,255
13,9,9,-1009,1009.04,255
14,9,0,-1020,1020,255
15,9,0,-1020,1020,255
16,9,0,-1020,1020,255
17,9,0,-1020,1020,255
18,9,0,-1020,1020,255
19,9,0,0,0,0
0,10,0,0,0,0
1,10,0,-104,104,104
2,10,0,-104,104,104
3,10,0,-104,104,104
4,10,0,-104,104,104
5,10,0,-104,104,104
6,10,0,-104,104,104
7,10,0,-104,104,104
8,10,-14,-106,106.921,106.921
9,10,208,-82,223.58,223.58
10,10,2,-30,30.0666,30.0666
11,10,-224,-34,226.566,226.566
12,10,12,-88,88.8144,88.8144
13,10,16,-108,109.179,109.179
14,10,0,-104,104,104
15,10,0,-104,104,104
16,10,0,-104,104,104
17,10,0,-104,104,104
18,10,0,-104,104,104
19,10,0,0,0,0
0,11,0,0,0,0
1,11,0,968,968,255
2,11,0,968,968,255
3,11,0,968,968,255
4,11,0,968,968,255
5,11,0,968,968,255
6,11,0,968,968,255
7,11,0,968,968,255
8,11,-20,976,976.205,255
9,11,299,867,917.11,255
10,11,-10,736,736.068,255
11,11,-321,849,907.657,255
12,11,30,982,982.458,255
13,11,22,978,978.247,255
14,11,0,968,968,255
15,11,0,968,968,255
16,11,0,968,968,255
17,11,0,968,968,255
18,11,0,968,968,255
19,11,0,0,0,0
0,12,0,0,0,0
1,12,0,156,156,156
2,12,0,156,156,156
3,12,0,156,156,156
4,12,0,156,156,156
5,12,0,156,156,156
6,12,0,156,156,156
7,12,0,156,156,156
8,12,-11,139,139.435,139.435
9,12,453,85,460.906,255
10,12,38,14,40.4969,40.4969
11,12,-468,0,468,255
12,12,-27,71,75.9605,75.9605
13,12,15,139,139.807,139.807
14,12,0,156,156,156
15,12,0,156,156,156
16,12,0,156,156,156
17,12,0,156,156,156
18,12,0,156,156,156
19,12,0,0,0,0
0,13,0,0,0,0
1,13,0,52,52,52
2,13,0,52,52,52
3,13,0,52,52,52
4,13,0,52,52,52
5,13,0,52,52,52
6,13,0,52,52,52
7,13,0,52,52,52
8,13,25,33,41.4005,41.4005
9,13,501,3,501.009,255
10,13,80,-16,81.5843,81.5843
11,13,-478,-34,479.208,255
12,13,-105,-17,106.367,106.367
13,13,-23,31,38.6005,38.6005
14,13,0,52,52,52
15,13,0,52,52,52
16,13,0,52,52,52
17,13,0,52,52,52
18,13,0,52,52,52
19,13,0,0,0,0
0,14,0,0,0,0
1,14,0,0,0,0
2,14,0,0,0,0
3,14,0,0,0,0
4,14,0,0,0,0
5,14,0,0,0,0
6,14,0,0,0,0
7,14,0,0,0,0
8,14,44,0,44,44
9,14,512,0,512,255
10,14,88,0,88,88
11,14,-468,0,468,255
12,14,-132,0,132,132
13,14,-44,0,44,44
14,14,0,0,0,0
15,14,0,0,0,0
16,14,0,0,0,0
17,14,0,0,0,0
18,14,0,0,0,0
19,14,0,0,0,0
0,15,0,0,0,0
1,15,0,0,0,0
2,15,0,0,0,0
3,15,0,0,0,0
4,15,0,0,0,0
5,15,0,0,0,0
6,15,0,0,0,0
7,15,0,0,0,0
8,15,44,0,44,44
9,15,512,0,512,255
10,15,88,0,88,88
11,15,-468,0,468,255
12,15,-132,0,132,132
13,15,-44,0,44,44
14,15,0,0,0,0
15,15,0,0,0,0
16,15,0,0,0,0
17,15,0,0,0,0
18,15,0,0,0,0
19,15,0,0,0,0
0,16,0,0,0,0
1,16,0,0,0,0
2,16,0,0,0,0
3,16,0,0,0,0
4,16,0,0,0,0
5,16,0,0,0,0
6,16,0,0,0,0
7,16,0,0,0,0
8,16,44,0,44,44
9,16,512,0,512,255
10,16,88,0,88,88
11,16,-468,0,468,255
12,16,-132,0,132,132
13,16,-44,0,44,44
14,16,0,0,0,0
15,16,0,0,0,0
16,16,0,0,0,0
17,16,0,0,0,0
18,16,0,0,0,0
19,16,0,0,0,0
0,17,0,0,0,0
1,17,0,0,0,0
2,17,0,0,0,0
3,17,0,0,0,0
4,17,0,0,0,0
5,17,0,0,0,0
6,17,0,0,0,0
7,17,0,0,0,0
8,17,44,0,44,44
