height,width,l_size,total_exec,kernel_exec,bandwidth,throughput,memory_footprint
256,256,2,2.09817,0.008322,3.15001e+10,7.87503e+09,0.524288
256,256,2,1.10342,0.008332,3.14623e+10,7.86558e+09,0.524288
256,256,2,1.16917,0.008321,3.15039e+10,7.87598e+09,0.524288
256,256,2,1.25879,0.008343,3.14208e+10,7.85521e+09,0.524288
256,256,2,1.27696,0.008315,3.15266e+10,7.88166e+09,0.524288
256,256,4,0.923333,0.002299,1.14025e+11,2.85063e+10,0.524288
256,256,4,1.02329,0.002307,1.1363e+11,2.84075e+10,0.524288
256,256,4,0.912959,0.00228,1.14975e+11,2.87439e+10,0.524288
256,256,4,0.924291,0.00228,1.14975e+11,2.87439e+10,0.524288
256,256,4,0.8445,0.002274,1.15279e+11,2.88197e+10,0.524288
256,256,8,0.977208,0.001296,2.02272e+11,5.05679e+10,0.524288
256,256,8,0.832958,0.001297,2.02116e+11,5.05289e+10,0.524288
256,256,8,0.932291,0.001315,1.99349e+11,4.98373e+10,0.524288
256,256,8,0.854459,0.0013,2.01649e+11,5.04123e+10,0.524288
256,256,8,0.919083,0.001305,2.00877e+11,5.02192e+10,0.524288
256,256,16,1.01862,0.001309,2.00263e+11,5.00657e+10,0.524288
256,256,16,1.0535,0.001285,2.04003e+11,5.10008e+10,0.524288
256,256,16,1.03438,0.001289,2.0337e+11,5.08425e+10,0.524288
256,256,16,1.09629,0.001283,2.04321e+11,5.10803e+10,0.524288
256,256,16,1.29096,0.001428,1.83574e+11,4.58936e+10,0.524288
512,256,2,1.67896,0.016386,3.19961e+10,7.99902e+09,1.04858
512,256,2,1.59354,0.016872,3.10744e+10,7.76861e+09,1.04858
512,256,2,1.72117,0.016386,3.19961e+10,7.99902e+09,1.04858
512,256,2,1.72313,0.016518,3.17404e+10,7.9351e+09,1.04858
512,256,2,1.80929,0.016383,3.2002e+10,8.00049e+09,1.04858
512,256,4,1.06721,0.004329,1.21111e+11,3.02777e+10,1.04858
512,256,4,1.14858,0.004322,1.21307e+11,3.03267e+10,1.04858
512,256,4,1.09767,0.004299,1.21956e+11,3.0489e+10,1.04858
512,256,4,1.12654,0.004289,1.2224e+11,3.056e+10,1.04858
512,256,4,1.12904,0.004307,1.21729e+11,3.04323e+10,1.04858
512,256,8,1.59763,0.002352,2.22912e+11,5.57279e+10,1.04858
512,256,8,1.01704,0.002346,2.23482e+11,5.58704e+10,1.04858
512,256,8,1.09017,0.00236,2.22156e+11,5.5539e+10,1.04858
512,256,8,0.98425,0.002352,2.22912e+11,5.57279e+10,1.04858
512,256,8,1.09183,0.00234,2.24055e+11,5.60137e+10,1.04858
