width,height,total_exec, kernel_exec
256,256,16.6423,12.6909
256,256,13.6868,12.8758
256,256,13.4518,12.7478
256,256,13.9857,13.2471
256,256,13.8414,13.1607
256,512,25.5992,24.4307
256,512,26.8405,25.8331
256,512,25.244,24.2243
256,512,25.3412,24.2757
256,512,24.8148,23.8271
512,512,50.1982,48.2182
512,512,48.854,47.1401
512,512,49.1274,47.2703
512,512,49.7418,47.9209
512,512,48.4768,46.7611
720,1280,171.502,165.689
720,1280,170.132,164.669
720,1280,169.368,163.661
720,1280,169.242,164.052
720,1280,170.312,164.958
1024,1024,194.481,187.714
1024,1024,192.874,186.995
1024,1024,192.049,186.104
1024,1024,191.875,186.028
1024,1024,192.689,186.847
2048,4096,1537.95,1491.35
2048,4096,1724.59,1677.03
2048,4096,1636.31,1589.07
2048,4096,1572.51,1526.02
2048,4096,1550.11,1504.56
