width,height,l_size,total_exec,kernel_exec,bandwidth,throughput,memory_footprint
256,256,2,108.052,0.008346,3.14095e+10,7.85238e+09,0.524288
256,256,2,31.0094,0.008307,3.1557e+10,7.88925e+09,0.524288
256,256,2,30.9128,0.008329,3.14736e+10,7.86841e+09,0.524288
256,256,2,31.3637,0.008318,3.15153e+10,7.87882e+09,0.524288
256,256,2,125.781,0.009318,2.81331e+10,7.03327e+09,0.524288
256,256,4,33.1048,0.002313,1.13335e+11,2.83338e+10,0.524288
256,256,4,30.7149,0.002316,1.13188e+11,2.82971e+10,0.524288
256,256,4,30.1882,0.002283,1.14824e+11,2.87061e+10,0.524288
256,256,4,31.5205,0.002304,1.13778e+11,2.84444e+10,0.524288
256,256,4,29.8795,0.002277,1.15127e+11,2.87817e+10,0.524288
256,256,8,29.194,0.001301,2.01494e+11,5.03736e+10,0.524288
256,256,8,32.8035,0.001326,1.97695e+11,4.94238e+10,0.524288
256,256,8,30.9877,0.001298,2.0196e+11,5.049e+10,0.524288
256,256,8,32.5505,0.001295,2.02428e+11,5.06069e+10,0.524288
256,256,8,34.4014,0.001291,2.03055e+11,5.07637e+10,0.524288
256,256,16,35.2089,0.001308,2.00416e+11,5.0104e+10,0.524288
256,256,16,33.2017,0.001308,2.00416e+11,5.0104e+10,0.524288
256,256,16,34.1782,0.001287,2.03686e+11,5.09215e+10,0.524288
256,256,16,33.9438,0.001287,2.03686e+11,5.09215e+10,0.524288
256,256,16,35.7877,0.001297,2.02116e+11,5.05289e+10,0.524288
256,512,2,113.266,0.017497,2.99645e+10,7.49111e+09,1.04858
256,512,2,37.1346,0.016393,3.19824e+10,7.99561e+09,1.04858
256,512,2,33.7215,0.016377,3.20137e+10,8.00342e+09,1.04858
256,512,2,34.5069,0.016383,3.2002e+10,8.00049e+09,1.04858
256,512,2,34.9722,0.01638,3.20078e+10,8.00195e+09,1.04858
256,512,4,33.9771,0.004309,1.21673e+11,3.04182e+10,1.04858
256,512,4,32.7242,0.00432,1.21363e+11,3.03407e+10,1.04858
256,512,4,33.6484,0.004331,1.21055e+11,3.02637e+10,1.04858
256,512,4,32.9567,0.00434,1.20804e+11,3.02009e+10,1.04858
256,512,4,33.2042,0.004338,1.20859e+11,3.02148e+10,1.04858
256,512,8,36.6817,0.002343,2.23768e+11,5.5942e+10,1.04858
256,512,8,33.078,0.002347,2.23386e+11,5.58466e+10,1.04858
256,512,8,38.4571,0.002349,2.23196e+11,5.57991e+10,1.04858
256,512,8,44.9102,0.00235,2.23101e+11,5.57753e+10,1.04858
256,512,8,42.4345,0.002342,2.23863e+11,5.59658e+10,1.04858
256,512,16,35.459,0.00235,2.23101e+11,5.57753e+10,1.04858
256,512,16,33.8581,0.002359,2.2225e+11,5.55625e+10,1.04858
256,512,16,36.1807,0.002331,2.2492e+11,5.62299e+10,1.04858
256,512,16,37.0954,0.002353,2.22817e+11,5.57042e+10,1.04858
256,512,16,33.7176,0.002347,2.23386e+11,5.58466e+10,1.04858
512,512,2,112.397,0.032487,3.22768e+10,8.0692e+09,2.09715
512,512,2,39.5862,0.032487,3.22768e+10,8.0692e+09,2.09715
512,512,2,39.986,0.032469,3.22947e+10,8.07367e+09,2.09715
512,512,2,42.2185,0.032478,3.22857e+10,8.07143e+09,2.09715
512,512,2,39.389,0.032479,3.22847e+10,8.07118e+09,2.09715
512,512,4,40.2703,0.008733,1.20071e+11,3.00176e+10,2.09715
512,512,4,37.7634,0.008361,1.25413e+11,3.13532e+10,2.09715
512,512,4,38.7185,0.008334,1.25819e+11,3.14548e+10,2.09715
512,512,4,38.6006,0.008328,1.2591e+11,3.14774e+10,2.09715
512,512,4,37.8408,0.008346,1.25638e+11,3.14095e+10,2.09715
512,512,8,38.9464,0.004459,2.35159e+11,5.87899e+10,2.09715
512,512,8,40.6089,0.004434,2.36485e+11,5.91213e+10,2.09715
512,512,8,42.0547,0.004439,2.36219e+11,5.90547e+10,2.09715
512,512,8,39.664,0.004449,2.35688e+11,5.8922e+10,2.09715
512,512,8,38.411,0.005334,1.96583e+11,4.91459e+10,2.09715
512,512,16,39.5902,0.004422,2.37127e+11,5.92818e+10,2.09715
512,512,16,38.8788,0.004421,2.37181e+11,5.92952e+10,2.09715
512,512,16,40.1069,0.00444,2.36166e+11,5.90414e+10,2.09715
512,512,16,39.1189,0.004427,2.36859e+11,5.92148e+10,2.09715
512,512,16,38.2567,0.004443,2.36006e+11,5.90016e+10,2.09715
720,1280,2,147.75,0.113535,3.24693e+10,8.11732e+09,7.3728
720,1280,2,72.315,0.11356,3.24621e+10,8.11553e+09,7.3728
720,1280,2,71.394,0.118178,3.11936e+10,7.79841e+09,7.3728
720,1280,2,68.5831,0.114255,3.22647e+10,8.06617e+09,7.3728
720,1280,2,71.0648,0.113865,3.23752e+10,8.0938e+09,7.3728
720,1280,4,69.0565,0.028643,1.28702e+11,3.21754e+10,7.3728
720,1280,4,85.0035,0.028899,1.27562e+11,3.18904e+10,7.3728
720,1280,4,69.7635,0.0291,1.2668e+11,3.16701e+10,7.3728
720,1280,4,68.2963,0.028894,1.27584e+11,3.18959e+10,7.3728
720,1280,4,69.9275,0.028627,1.28774e+11,3.21934e+10,7.3728
720,1280,8,69.8156,0.015003,2.45711e+11,6.14277e+10,7.3728
720,1280,8,70.9832,0.015044,2.45041e+11,6.12603e+10,7.3728
720,1280,8,71.6179,0.015008,2.45629e+11,6.14072e+10,7.3728
720,1280,8,67.0747,0.01507,2.44618e+11,6.11546e+10,7.3728
720,1280,8,68.4419,0.015038,2.45139e+11,6.12847e+10,7.3728
720,1280,16,68.8522,0.016043,2.29782e+11,5.74456e+10,7.3728
720,1280,16,68.795,0.014946,2.46648e+11,6.1662e+10,7.3728
720,1280,16,66.6309,0.015105,2.44052e+11,6.10129e+10,7.3728
720,1280,16,66.4018,0.01503,2.45269e+11,6.13174e+10,7.3728
720,1280,16,69.2187,0.014954,2.46516e+11,6.1629e+10,7.3728
1024,1024,2,150.801,0.131916,3.17953e+10,7.94882e+09,8.38861
1024,1024,2,79.0523,0.129477,3.23942e+10,8.09855e+09,8.38861
1024,1024,2,75.2344,0.129964,3.22728e+10,8.0682e+09,8.38861
1024,1024,2,75.3581,0.129454,3.24e+10,8.09999e+09,8.38861
1024,1024,2,73.6256,0.129588,3.23665e+10,8.09161e+09,8.38861
1024,1024,4,71.2085,0.032523,1.28964e+11,3.22411e+10,8.38861
