width_height,l_size,total_exec,kernel_exec,bandwidth,throughput,memory_footprint
256x256,2,108.052,0.008346,31409500000.0,7852380000.0,0.524288
256x256,2,31.0094,0.008307,31557000000.0,7889250000.0,0.524288
256x256,2,30.9128,0.008329,31473600000.0,7868410000.0,0.524288
256x256,2,31.3637,0.008318,31515300000.0,7878820000.0,0.524288
256x256,2,125.781,0.009318,28133100000.0,7033270000.0,0.524288
256x256,4,33.1048,0.002313,113335000000.0,28333800000.0,0.524288
256x256,4,30.7149,0.002316,113188000000.0,28297100000.0,0.524288
256x256,4,30.1882,0.002283,114824000000.0,28706100000.0,0.524288
256x256,4,31.5205,0.002304,113778000000.0,28444400000.0,0.524288
256x256,4,29.8795,0.002277,115127000000.0,28781700000.0,0.524288
256x256,8,29.194,0.001301,201494000000.0,50373600000.0,0.524288
256x256,8,32.8035,0.001326,197695000000.0,49423800000.0,0.524288
256x256,8,30.9877,0.001298,201960000000.0,50490000000.0,0.524288
256x256,8,32.5505,0.001295,202428000000.0,50606900000.0,0.524288
256x256,8,34.4014,0.001291,203055000000.0,50763700000.0,0.524288
256x256,16,35.2089,0.001308,200416000000.0,50104000000.0,0.524288
256x256,16,33.2017,0.001308,200416000000.0,50104000000.0,0.524288
256x256,16,34.1782,0.001287,203686000000.0,50921500000.0,0.524288
256x256,16,33.9438,0.001287,203686000000.0,50921500000.0,0.524288
256x256,16,35.7877,0.001297,202116000000.0,50528900000.0,0.524288
256x512,2,113.266,0.017497,29964500000.0,7491110000.0,1.04858
256x512,2,37.1346,0.016393,31982400000.0,7995610000.0,1.04858
256x512,2,33.7215,0.016377,32013700000.0,8003420000.0,1.04858
256x512,2,34.5069,0.016383,32002000000.0,8000490000.0,1.04858
256x512,2,34.9722,0.01638,32007800000.0,8001950000.0,1.04858
256x512,4,33.9771,0.004309,121673000000.0,30418200000.0,1.04858
256x512,4,32.7242,0.00432,121363000000.0,30340700000.0,1.04858
256x512,4,33.6484,0.004331,121055000000.0,30263700000.0,1.04858
256x512,4,32.9567,0.00434,120804000000.0,30200900000.0,1.04858
256x512,4,33.2042,0.004338,120859000000.0,30214800000.0,1.04858
256x512,8,36.6817,0.002343,223768000000.0,55942000000.0,1.04858
256x512,8,33.078,0.002347,223386000000.0,55846600000.0,1.04858
256x512,8,38.4571,0.002349,223196000000.0,55799100000.0,1.04858
256x512,8,44.9102,0.00235,223101000000.0,55775300000.0,1.04858
256x512,8,42.4345,0.002342,223863000000.0,55965800000.0,1.04858
256x512,16,35.459,0.00235,223101000000.0,55775300000.0,1.04858
256x512,16,33.8581,0.002359,222250000000.0,55562500000.0,1.04858
256x512,16,36.1807,0.002331,224920000000.0,56229900000.0,1.04858
256x512,16,37.0954,0.002353,222817000000.0,55704200000.0,1.04858
256x512,16,33.7176,0.002347,223386000000.0,55846600000.0,1.04858
512x512,2,112.397,0.032487,32276800000.0,8069200000.0,2.09715
512x512,2,39.5862,0.032487,32276800000.0,8069200000.0,2.09715
512x512,2,39.986,0.032469,32294700000.0,8073670000.0,2.09715
512x512,2,42.2185,0.032478,32285700000.0,8071430000.0,2.09715
512x512,2,39.389,0.032479,32284700000.0,8071180000.0,2.09715
512x512,4,40.2703,0.008733,120071000000.0,30017600000.0,2.09715
512x512,4,37.7634,0.008361,125413000000.0,31353200000.0,2.09715
512x512,4,38.7185,0.008334,125819000000.0,31454800000.0,2.09715
512x512,4,38.6006,0.008328,125910000000.0,31477400000.0,2.09715
512x512,4,37.8408,0.008346,125638000000.0,31409500000.0,2.09715
512x512,8,38.9464,0.004459,235159000000.0,58789900000.0,2.09715
512x512,8,40.6089,0.004434,236485000000.0,59121300000.0,2.09715
512x512,8,42.0547,0.004439,236219000000.0,59054700000.0,2.09715
512x512,8,39.664,0.004449,235688000000.0,58922000000.0,2.09715
512x512,8,38.411,0.005334,196583000000.0,49145900000.0,2.09715
512x512,16,39.5902,0.004422,237127000000.0,59281800000.0,2.09715
512x512,16,38.8788,0.004421,237181000000.0,59295200000.0,2.09715
512x512,16,40.1069,0.00444,236166000000.0,59041400000.0,2.09715
512x512,16,39.1189,0.004427,236859000000.0,59214800000.0,2.09715
512x512,16,38.2567,0.004443,236006000000.0,59001600000.0,2.09715
720x1280,2,147.75,0.113535,32469300000.0,8117320000.0,7.3728
720x1280,2,72.315,0.11356,32462100000.0,8115530000.0,7.3728
720x1280,2,71.394,0.118178,31193600000.0,7798410000.0,7.3728
720x1280,2,68.5831,0.114255,32264700000.0,8066170000.0,7.3728
