width_height,l_size,total_exec,kernel_exec,bandwidth,throughput,memory_footprint
1024x1024,2,90.81428,0.13007980000000002,32245760000.0,8061434000.0,8.38861
1024x1024,4,96.97178,0.0327736,127989600000.0,31997440000.0,8.38861
1024x1024,8,76.45344,0.0180622,232829200000.0,58207280000.0,8.38861
1024x1024,16,75.06307999999999,0.017549799999999997,239484600000.0,59871200000.0,8.38861
2048x4096,2,420.94780000000003,0.5364777999999999,62664780000.0,15666220000.0,67.1089
2048x4096,4,366.1202,0.24521600000000002,137556800000.0,34389200000.0,67.1089
2048x4096,8,361.6232,0.1352654,248075200000.0,62018760000.0,67.1089
2048x4096,16,358.30100000000004,0.13503400000000002,248494000000.0,62123460000.0,67.1089
256x256,2,65.42378,0.008523600000000001,30817700000.0,7704426000.0,0.524288
256x256,4,31.081579999999995,0.0022986,114050400000.0,28512620000.0,0.524288
256x256,8,31.987420000000004,0.0013021999999999999,201326400000.0,50331600000.0,0.524288
256x256,16,34.46406,0.0012974,202064000000.0,50515980000.0,0.524288
256x512,2,50.720240000000004,0.016606,31594080000.0,7898516000.0,1.04858
256x512,4,33.30212,0.0043276,121150800000.0,30287660000.0,1.04858
256x512,8,39.1123,0.0023462,223462800000.0,55865760000.0,1.04858
256x512,16,35.26216,0.0023480000000000003,223294800000.0,55823700000.0,1.04858
512x512,2,54.715340000000005,0.032479999999999995,32283740000.0,8070936000.0,2.09715
512x512,4,38.63872,0.0084204,124570200000.0,31142500000.0,2.09715
512x512,8,39.937,0.004623,228026800000.0,57006760000.0,2.09715
512x512,16,39.1903,0.0044306,236667800000.0,59166960000.0,2.09715
720x1280,2,86.22138,0.1146786,32152980000.0,8038246000.0,7.3728
720x1280,4,72.40946,0.028832599999999996,127860400000.0,31965040000.0,7.3728
720x1280,8,69.58666000000001,0.015032600000000002,245227600000.0,61306900000.0,7.3728
720x1280,16,67.97972,0.015215600000000001,242453400000.0,60613380000.0,7.3728
